N,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
7500,14,14,14,14,9.23362629112745e-05,0.000710051902373,0.0025421136744221,0.0064472986631519,0.0121010378452578,0.0205673920517822,0.0333563896602853,0.0509213132242529,0.0731400041117638,0.101546973875812,0.1363075690932721,0.1814348886901653,0.2387864834999503,0.3073755069501996,0.3807547264714804,0.4656762461969335,0.5646119875290398,0.6617542083096927,0.7689188759577807,0.8757852210461898,0.9849396951443948,1.0984133211972733,1.2114726094535435,1.3219007712512048,1.4335578606381825,1.5430278161357112,1.6500659771002308,1.7565696642756596,1.858726454011234,1.959326430635432,2.059524480605825,2.153024058812988,2.2457071174622003,2.334571052720085,2.420704349028434,2.5080691822648418,2.5884033067975336,2.667589921805243,2.742389309429749,2.816302985600069,2.8838281641517898,2.957280008118671,3.019655291777525,3.0808582921687298,3.14262366776411,3.198323028360007,3.254895397115527,3.311863468843748,3.359260382810578
8000,15,15,15,15,4.678224864754406e-05,0.0006757388920219,0.0023874931218206,0.0057218347609062,0.0117205203255832,0.0198421419520162,0.0310306905452633,0.0462707226237945,0.0686300132986134,0.0950487613103882,0.1269065289343807,0.1698630709207922,0.2205705624115633,0.2850566250107492,0.3559384418279149,0.4379923593007341,0.5293522943414849,0.620745726544207,0.7238520877345933,0.8300156412165146,0.9365704807010852,1.0452542322265583,1.1551127666172492,1.2642409139106126,1.375806516608109,1.4855034960238298,1.591915721157523,1.6954763012999094,1.7977415310516511,1.899738637783566,1.997038713841326,2.092982597917917,2.187352781619101,2.2779656778058173,2.3635937805440133,2.4504615474246383,2.5350201353397344,2.611635480009687,2.6906465597320053,2.7648055021242888,2.834759373313702,2.9035300091421883,2.9731604678545365,3.032703906165968,3.098028119618564,3.154761522498383,3.216839085272773,3.269527011041601,3.317446180477623
8500,16,16,16,16,8.977399311197084e-05,0.0006472496448316,0.0024110996138515,0.0054093673655388,0.0105367287428815,0.0189398951426203,0.0292456915351281,0.0437831810823669,0.0642602661758174,0.0890506691768508,0.119741138559461,0.1589602148225284,0.2083091794780664,0.2653176443939576,0.3324722229855126,0.4101623443884928,0.4961615831451885,0.5863840846806128,0.6867016649659344,0.7884145785046438,0.8931380918497106,0.9985197033036314,1.1059053049225902,1.213235830271412,1.323235738880851,1.4301527674592156,1.5335290143662406,1.6388050209493872,1.7405162487032235,1.843157047508844,1.940159775039972,2.0358087090786543,2.128395957611968,2.220511745972955,2.3081283487700888,2.3943681915700616,2.4786408922901275,2.5595070376159126,2.636027066875805,2.7093632902752613,2.7890713156781533,2.8537409135975498,2.923297608241365,2.98981354127302,3.0512393404723315,3.114910872066108,3.170971711668861,3.228694430779022,3.2766884730074963
9000,17,17,17,17,8.281607101476852e-05,0.0007511005777632,0.0023301198805618,0.0052120580138558,0.009966665262112,0.0175377026971861,0.0275661694386589,0.0433450634765347,0.0602818462730291,0.0837673448283927,0.1139189495025036,0.1485869944880163,0.1947258100429056,0.2493318030972155,0.3128594235102498,0.3867384030823537,0.468290807446683,0.5568314652774367,0.6491939305469869,0.7481857671944812,0.8506173704805006,0.9535427520092208,1.0623786240973134,1.1641907682280137,1.2693477663414394,1.3790463403704285,1.483570068774939,1.5857580638353626,1.6860698036179869,1.7865255828514628,1.887210765723959,1.9807781671023783,2.077081596689448,2.162390158785291,2.2567235010553817,2.3404676024250834,2.423966226107908,2.504445359050857,2.5848455169124867,2.6612979928733287,2.7356972576169545,2.807617136002261,2.877447302257883,2.9450250743943016,3.00492327146598,3.0690933395640783,3.130043398948264,3.1885313268943563,3.245126597944384
9500,18,18,18,18,3.773652647811599e-05,0.0005912907765925,0.0019051329813486,0.0050155781883447,0.0094845036098882,0.0163073109244225,0.0261149935210397,0.0393998682780496,0.0569166508186068,0.0794690740742814,0.1063222178609064,0.1412878621564915,0.1838198978740043,0.2330559675986825,0.2945938683350601,0.3654182111861493,0.441801393114806,0.5254371972859264,0.6190127383764248,0.7115512517385771,0.8109132695310424,0.9146203131390857,1.0179513810703922,1.1202534177274592,1.2265891674573617,1.3321480211103505,1.4329420567176898,1.5374722509694398,1.6356723978018834,1.7364929636286566,1.832326523244746,1.9308520391948567,2.021278701480122,2.112754930093612,2.202748924287463,2.289782517616428,2.375271334494464,2.4577813469167564,2.5351361335810387,2.6130693490534025,2.687388474482691,2.759026826463989,2.828887786164051,2.8978083203967904,2.9649238758089784,3.0295715483191,3.088186693073632,3.1487834577657576,3.203958923999554
10000,19,19,19,19,8.05544588903547e-05,0.000595394355513,0.0019120419122849,0.0046461961069642,0.0090766677662874,0.0159503521935734,0.0252016551973088,0.0372586499952871,0.05362566017418,0.0743597145301448,0.1013047270422124,0.1346723254458603,0.1719817542588049,0.2212514987559502,0.2793143786510456,0.3426520713027963,0.4168166877362616,0.4971883843335628,0.5876251249786131,0.6782745360882513,0.7784981869833102,0.874265967223221,0.9752045897774754,1.078231655533788,1.1799436804569712,1.286861617660931,1.387813350832028,1.487334616824437,1.5891406288820478,1.6872098775784523,1.7850228337339955,1.877798689362827,1.974334785668474,2.064313086046973,2.1533812347733488,2.237494015067234,2.324629962280281,2.408269713520419,2.4847654423267342,2.5630662215563644,2.642167376353199,2.713453476440484,2.7844144634183148,2.857352483603788,2.91963603993773,2.9879963504299183,3.0462975323073564,3.109419867800253,3.166261312323292
10500,20,20,20,20,6.062099746415583e-05,0.0005279307380049,0.0017050856623652,0.0047320921733093,0.0086453739958349,0.014689105974866,0.0242476153576899,0.0361443315074144,0.0518076571624981,0.0709054906461861,0.0963426828807544,0.126957393447762,0.1624833562267089,0.2080521156188159,0.2625253500375396,0.3266577610645979,0.3962452287391236,0.4757959073813225,0.5593935941552196,0.6496463916560622,0.743296528478314,0.8409930045770818,0.93901788139139,1.0413928375713464,1.14235491483664,1.2421701877780835,1.3450127502088618,1.4449368738147,1.5455094115822956,1.6398025966380956,1.7364941854405846,1.8339588360439607,1.925595560451656,2.0181708170818933,2.1038329465830925,2.191967500827389,2.2773885501985083,2.3604489719720205,2.438928466193625,2.520197311789267,2.595653522775771,2.669375951341263,2.740724022367251,2.8119313870779563,2.8803820069472925,2.945904867667272,3.00689408770298,3.070775708409451,3.130945655763252
11000,21,21,21,21,8.31417267588878e-05,0.0005587199310678,0.0018506119689882,0.0040655739639766,0.0084488795079776,0.0142291296424998,0.0229667851379301,0.0341999827815148,0.0481778422159698,0.0674205452464443,0.0916459596435998,0.1202195445786807,0.1551355000870339,0.1987122292256326,0.2506213561224139,0.3104134658148985,0.3794931697328208,0.4515558924026249,0.5319898837374308,0.6192624703882685,0.7108678691974842,0.8067815216999482,0.9031922292884004,1.0007123981246977,1.101288944070265,1.2039538615750165,1.2999688683105488,1.4022185743661637,1.499414570471083,1.598637054319678,1.693020893455603,1.7863030106464115,1.8804513145652928,1.974854106751016,2.0577611423571724,2.148628586502064,2.2339579307309303,2.3141593541828507,2.397185297257165,2.473992055849065,2.553290847328839,2.626871965901721,2.698236858660721,2.7691033535149487,2.8409441483825657,2.90797808827953,2.968582543769139,3.032264792640488,3.0884293285713933
11500,22,22,22,22,6.774862406445277e-05,0.0004943990186564,0.0017278003215316,0.0040281499074862,0.0076547142820382,0.0137287978444525,0.0218714077247581,0.0332191839211682,0.0462050406212336,0.06398188604603,0.0867576177758315,0.1155648512909709,0.14863230804611,0.1886301069994197,0.2372534179984851,0.2956545834345322,0.3598134390490008,0.4310241950219804,0.5122568541621783,0.5950891856476481,0.6811641467695692,0.7749144449221246,0.8695933355360325,0.9659680197708328,1.0638254656841748,1.165591969533122,1.264566075456599,1.3608426382427576,1.4577795202860624,1.5562339956735225,1.6524193126116846,1.7447677704502742,1.8365009636982568,1.9292655790132176,2.015562642560861,2.1060076926537814,2.1886924962398853,2.27237726144116,2.3522037822468804,2.4323594764249354,2.5102962084220484,2.5858990707802927,2.656211656645547,2.730055470869056,2.799991444730468,2.8666907960770214,2.929948447342161,2.995455240939444,3.056877072722081
12000,23,23,23,23,7.167414377650487e-05,0.0004541079254957,0.0016220314007754,0.0035831569582199,0.0077838250479091,0.0130044494107544,0.0213242415806366,0.0307516451495779,0.0450247762276918,0.0607127305375825,0.0816999446644183,0.1100594896006184,0.1421119780756179,0.182656933262105,0.2251393944439615,0.280149205938432,0.3452646629839249,0.4117053423191832,0.4883796976090718,0.5705712027631049,0.654777046677017,0.7478464838452895,0.8402968236352633,0.933096940376758,1.0301175303696728,1.129166191052672,1.22562139316626,1.326061129274359,1.421497052989555,1.5140665773471549,1.611005252412757,1.7055103749156864,1.7953568516942495,1.887814107735145,1.9751970971204404,2.0601934502185406,2.147135204720656,2.230507249418733,2.310746308325176,2.3914713770275973,2.467943943495114,2.547728460623852,2.6178045584138827,2.6873898007573285,2.758732023745889,2.8263471454853346,2.892858269346952,2.956048136983676,3.019351196088302
12500,24,24,24,24,6.425696483232101e-05,0.0004082075826012,0.0015107389691634,0.0037340469985297,0.0070512694808586,0.0122434890395391,0.0200880353740142,0.0304137704240093,0.0433615719588787,0.0601875261039708,0.0798314085685069,0.1042188494622609,0.1349965888536147,0.1726928698451277,0.2159899035115368,0.2685127595858176,0.3269306395766468,0.3933776587924139,0.4692224502467211,0.5466414501669851,0.6315852279516619,0.7175899547166641,0.810060928527203,0.9061358394799314,0.9984695804728292,1.0940208599305623,1.1904940507925086,1.2865139391525635,1.3824792567202764,1.4789194064511118,1.5738355053403563,1.6661909975185245,1.7568832578416498,1.8476201309425249,1.9341729503608207,2.020517921709304,2.108190001077354,2.19011141572524,2.271712748764432,2.3504022432668075,2.4296577476626173,2.503127327705556,2.579608868317214,2.652633285248512,2.721220526063533,2.791490164458033,2.8553819458973826,2.9197077011772725,2.983454943852044
13000,25,25,25,25,4.498038838463003e-05,0.0004491502164578,0.0014639207375111,0.0036707268446845,0.0069290358158917,0.0122149599721637,0.0194334220326049,0.0284770785889298,0.0407870981440327,0.0563899958164323,0.0762458483311651,0.1002844090377631,0.1302413922277709,0.1640730304636336,0.207242128088183,0.2579082666581896,0.3125411186767162,0.3776116144552544,0.449126331828258,0.5258490153254148,0.6094793089393356,0.6959388266529731,0.7806650519973949,0.8756161861402495,0.9690855430463426,1.0616136458750447,1.1577462400437866,1.2543018549399716,1.34646062716507,1.4423385162550308,1.5354930601882233,1.6285027906454497,1.7202970468248282,1.808422897351924,1.8971722473205368,1.984051620577769,2.0672345359573465,2.1496320849356096,2.2332955290609724,2.312953521698867,2.3884852081206627,2.4667290128416983,2.54107630853754,2.612528197896698,2.6833583535542065,2.753788764494097,2.820816028661321,2.884583379968084,2.9494846553201564
13500,26,26,26,26,4.629332854969951e-05,0.0004446234737574,0.0014817596737296,0.0032133683014446,0.0065764268577534,0.0114962601161122,0.0180783595145418,0.0280661256787609,0.0398847655870874,0.0539396193556077,0.0733542072032047,0.0954071524772635,0.1243712357282236,0.1573647970199833,0.1982140937629004,0.2474392736317653,0.301166097776815,0.3647793598108758,0.4318911392614115,0.5065705090486846,0.5850884972010781,0.669159438614349,0.7550416326922808,0.8465428493657379,0.9396498614766962,1.030037851889621,1.1270329252404605,1.2192948551327705,1.314546879429903,1.4050331934184952,1.500028869751495,1.5911225471467658,1.6829656740070762,1.7735557445667216,1.8615178868881768,1.9473629641052623,2.031669620914629,2.114049359496472,2.196922420787564,2.275395292086189,2.352842127374315,2.430764358379551,2.5065252023809967,2.577944508545688,2.647168710398906,2.715051992965824,2.7849633326717926,2.848850364520534,2.9166125517209105
14000,27,27,27,27,9.933954565159256e-05,0.0003997903818544,0.0012941931751293,0.0033858249768818,0.0063512584183367,0.0109323682698741,0.0175986866364587,0.0270741280571197,0.0378917963371149,0.0527969829704318,0.0708488811519304,0.0926026994120942,0.1201420593682786,0.1517639553598218,0.1899726407888955,0.2365053379851443,0.2882202503134388,0.3506091558321777,0.415543140885726,0.4876167598740377,0.5652231128363799,0.6462200756385783,0.7327709799436913,0.820908204147338,0.9112075665328848,1.0029866589659215,1.093720693742154,1.188970283092016,1.2837905638982732,1.373513212552606,1.4667435978762124,1.5568456078834756,1.646868368573368,1.7358567070891733,1.822727477819401,1.9121166779966043,1.9962894875570512,2.0775763734591006,2.160492317039003,2.23935056734087,2.318378251050168,2.3941948092884617,2.4686982074065216,2.541188591279772,2.6136359925972386,2.683484224582946,2.749976566060145,2.816039584030377,2.8813030433474203
14500,28,28,28,28,5.623830155455274e-05,0.0003847380752778,0.0013437801953082,0.0032591888346309,0.0059855860997614,0.0105538422815243,0.0170940789239457,0.0259482182217501,0.0365588788600067,0.0511911020080267,0.0680552024718631,0.0888133304325748,0.115415456724901,0.1463924224952691,0.1823503257794322,0.2272226089657249,0.2785674833319807,0.3366550624845045,0.4000290170706422,0.4697619901637045,0.5453510306416788,0.6235224228991958,0.707490111140864,0.7933948219944889,0.8853282677339488,0.9741431061246904,1.0676805425169926,1.1589639432293533,1.2519081229715117,1.3407761449405498,1.433420036051414,1.5255587760453857,1.6143842220433766,1.703306902860951,1.7894337804427602,1.875730364320784,1.959372757692972,2.0425356557378027,2.123390361307017,2.2040657856361374,2.2818429944649434,2.3599777014817684,2.433764206067697,2.507689907276822,2.578139189135962,2.64718298864051,2.715792136040866,2.7837865551408263,2.8475380567872928
15000,29,29,29,29,3.596532878782366e-05,0.000348140873272,0.0013784606553389,0.0029112955921723,0.0060648327204373,0.0104973162740004,0.0166825965397846,0.0252344543712603,0.035595923363111,0.0489700508280293,0.0661716091311281,0.0859075023223984,0.1114679418337292,0.1409696881374272,0.1775338546814368,0.218325235923176,0.2686121646353069,0.3244911317527396,0.385454436974818,0.4557884113244574,0.5288258864710804,0.605511461180295,0.6859176867568344,0.7714447230911639,0.8603800292029189,0.946397682584329,1.040183892366422,1.1290266911876043,1.2222868968194531,1.3116966759970496,1.401544430213365,1.4928626580643165,1.5824046814768848,1.6700340793132205,1.7558419955780602,1.8438158685398776,1.9263018029816408,2.008743464758158,2.090265351779123,2.1688121514430034,2.248547106868027,2.3237920572011483,2.3981737536035443,2.4743458779531755,2.5435233214432134,2.615170624334413,2.6851193865757,2.750086110088751,2.8163313316954537
15500,30,30,30,30,5.070497710879529e-05,0.0003291513342321,0.0013848909056602,0.0030488820174128,0.0060684706269907,0.0100169250699008,0.015809276995276,0.0239872147650688,0.0342614179245066,0.0477975585770645,0.063908886221794,0.0823908140599482,0.1067775352291915,0.1359133388612979,0.1699293768035074,0.2114515742777522,0.2581170346122212,0.3133911328971023,0.372100626175565,0.4389488332899354,0.5107028924270458,0.5856836609835386,0.6663999106292413,0.7494941542442511,0.8378388498278103,0.9238206441199472,1.0122730752676117,1.1038300523726536,1.191849020070629,1.283257063890564,1.3736263394491128,1.4620985161825883,1.5493937883495148,1.6389681615083118,1.7240591360596391,1.8117309053511268,1.894039357850446,1.975695375808246,2.056404097963403,2.1376504535268257,2.216897260099495,2.290923079627251,2.367013477285802,2.439964942687943,2.5125106445821266,2.582351390374773,2.650958152244411,2.719025976317385,2.784629760224888
16000,31,31,31,31,4.047008971066468e-05,0.0003288691018627,0.0012355982858582,0.0027620978858847,0.0056844254278623,0.0102844663990236,0.0154770080960367,0.0232634397779856,0.0332352455631946,0.0460207338906236,0.0619773193987145,0.0807558957472601,0.1034712834764117,0.131191042355379,0.1636647789132758,0.2025153962977021,0.2488047577489238,0.3008975545289521,0.3589562059480761,0.4222679096502993,0.4933743493206515,0.5669383223057862,0.645313498736585,0.7286124135899842,0.8140192694818,0.8989800263130057,0.9862837486583396,1.0766051381059352,1.164378157150726,1.2554703224874335,1.3426445440671662,1.431349868018066,1.518690612873101,1.6063125895184325,1.6926248426839976,1.778693996866647,1.8630635900999448,1.944573611665292,2.025849939609322,2.1051864689747743,2.183418315877576,2.2598714221868628,2.3375919350020595,2.409835745460677,2.481184097087034,2.552573747100096,2.6204060464527945,2.6874474865161577,2.753311493027498
