N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
6500,-8.937024785178786e-05,-2.1620217637022922e-05,-0.00011935804180800994,0.000272760892375455,-2.9747497208110206e-05,-0.00020165424291704244,-0.0006276339205909674,-0.0017995563249927063,-0.004369242978366935,-0.007736312458787103,-0.014482602128857443,-0.033953616740601586,-0.06402429318115546,-0.11195591359326153,-0.1613467883056635,-0.23114745556276292,-0.3103907333355183,-0.4011651098873857,-0.5032982762925003,-0.6044772070888842,-0.7159114287891948,-0.8225101136776586,-0.9396309410184108,-1.0570653972612305,-1.1732003850523052,-1.2909953680308157,-1.4099958146121288,-1.5248912123582745,-1.6398509260543959,-1.7541105336956848,-1.8646869013635008,-1.9747492651543366,-2.0832314475295868,-2.188927983221089,-2.2933046064240323,-2.3913668751238815,-2.4955048659091217,-2.590282303284542,-2.6821799085451965,-2.77201730922347,-2.8624997513223813,-2.9514969831037727,-3.035664572457212,-3.1179761940520234,-3.1866632060035847,-3.2676446585517245,-3.3431768107837105,-3.4097431940448093,-3.477031486048671
7000,-4.5553905312100746e-05,-0.0001297858334212954,0.00014362593525833533,0.00011636875591646162,-6.536145982731709e-05,-0.00011536485119353184,-0.0012883578785624378,-0.0019465775899920842,-0.003017208229004579,-0.006819172298827115,-0.014140753310151506,-0.030833256534833466,-0.05864592042063945,-0.09166265566901491,-0.13936127331242615,-0.20328374484562856,-0.2754218654550415,-0.35752859552401467,-0.4519104508271872,-0.5502841601699704,-0.6526673022151335,-0.7609965482991791,-0.8690233329320913,-0.9882889418456273,-1.0992766459313337,-1.2106141785664937,-1.3277009469834462,-1.44095329363772,-1.5556586495365796,-1.6686149298110968,-1.7795803393166132,-1.8872713595671486,-1.9939047909847105,-2.10009569731408,-2.204427104103651,-2.302395166895053,-2.4000639093283187,-2.5001653040914316,-2.5950114749184197,-2.688891893711435,-2.7741300062707706,-2.8608333240676385,-2.948110851837371,-3.0266418776073705,-3.1079521009479034,-3.1859104958518163,-3.25521501932774,-3.3350070261804534,-3.4037140103372496
7500,3.843406481323058e-06,5.9385452767725996e-05,5.473739917797752e-05,-0.0002917998220256575,-7.857917118311274e-05,0.00020741653701878763,-0.00036676305862434755,-0.0016773224952429924,-0.0030763209482363237,-0.005835378874258501,-0.010344262078766897,-0.02173816563069637,-0.04427913209832048,-0.07850315967459477,-0.1181521691398915,-0.17289571459892725,-0.24704274913958152,-0.32073636652231907,-0.41018153307931093,-0.5017488987563374,-0.5993810484613095,-0.7046505487149992,-0.8131733625649187,-0.9214214518563474,-1.032924653772297,-1.1443791164482928,-1.2557774224252773,-1.3693246673892239,-1.4788584377672107,-1.58930400654823,-1.7005114226750964,-1.8056230929669252,-1.9112006392927052,-2.0144209932019255,-2.116122571995956,-2.2208157756679303,-2.3168239803226363,-2.4139673396059425,-2.5068998008999333,-2.6007322866014606,-2.687547900844357,-2.7816431078518686,-2.8645335149921634,-2.9459374519447943,-3.028577021787348,-3.106481062057015,-3.1841392203323733,-3.2630715225608835,-3.3325641125761725
8000,4.338619140801616e-05,4.560862842253309e-05,4.7054759679498494e-05,4.8945402649635056e-05,-0.0004494653186381961,-0.0003657589000152566,-0.00010291560620622382,-0.00010448131534770515,-0.0029182598007896545,-0.0051418097309891215,-0.008289946041291232,-0.019149528982591802,-0.03530447424407223,-0.06593228760239524,-0.1031722594348315,-0.1550678393237343,-0.21960867467729286,-0.2860705332046526,-0.36954421938027493,-0.45974495335769366,-0.5533335711622744,-0.6521709290336806,-0.7555613806577192,-0.8596250672346287,-0.9712928608308548,-1.0817743056750588,-1.1915828753841782,-1.2993362879891484,-1.4083340945983716,-1.5177911369375499,-1.6243905847797069,-1.731046479534899,-1.8371806390486642,-1.9410543071528852,-2.0402407376607683,-2.142464189882856,-2.2425708224781986,-2.3351580034966593,-2.4318030244791773,-2.5234185768662174,-2.612370938375337,-2.6994968629844664,-2.788321176969975,-2.8673139478013914,-2.9530012006332007,-3.0297790477373705,-3.113220519575592,-3.1866622146305414,-3.2549474290604454
8500,-4.909578942031816e-06,3.166566852788543e-05,-0.000119760431263214,2.195514133729604e-05,7.132302836085936e-05,-0.0006091816819135045,-0.0001371974748390343,-0.000332601027358125,-0.002408252314960241,-0.004367299090474305,-0.007799318641700132,-0.016011766780877453,-0.032175916682163686,-0.055071715915545036,-0.08890003906256502,-0.1358409543979706,-0.1939537466584243,-0.25871409512906113,-0.3385312617647313,-0.42278756530868405,-0.5134094418325128,-0.6072579794007388,-0.7063014091067927,-0.8081072610931516,-0.9167238797516206,-1.021887043770473,-1.1265079687519903,-1.2357839180563468,-1.341775141098154,-1.4519632151372872,-1.556527361970957,-1.6614180307127457,-1.7642993326848733,-1.8683187695400965,-1.9683453785026814,-2.068437922508994,-2.167400653321876,-2.2627616405878865,-2.3554030797262615,-2.4453104943993016,-2.542820245081242,-2.624482527531265,-2.7122596118973665,-2.7977710296340583,-2.878022584710069,-2.961343056997992,-3.0369708016945274,-3.1148148734043812,-3.182551207182589
9000,-2.6663465209372144e-06,-0.00010990278181259884,-0.0001660773192284199,-8.247564625065886e-05,5.205029961689855e-05,-0.0002253622065185694,-7.481393727484497e-05,-0.002308404535693098,-0.0018687270619248708,-0.00371380000395409,-0.007985058639006842,-0.012922899152274377,-0.026849540433092876,-0.04784341069217306,-0.07849895743280405,-0.12100466318053922,-0.174055825514862,-0.23723711051576743,-0.3063294391072754,-0.3870498102276593,-0.47411403967072796,-0.5644959893161638,-0.6648707221551909,-0.7589965077069323,-0.8593071191459649,-0.9685969295800353,-1.0727653275392897,-1.177453994003921,-1.2807740201125468,-1.3863834266309765,-1.4948057295746102,-1.5954984414605313,-1.7013423599198492,-1.7964559049787716,-1.9035971732229764,-1.9984366681201078,-2.0956809695536243,-2.190159587708163,-2.285227145152163,-2.3770790548457534,-2.4680880141619843,-2.5566923935294237,-2.64365322756686,-2.7290055369385278,-2.8064832402491864,-2.888825922547519,-2.9692042751490093,-3.04647395520149,-3.123266956823962
9500,3.819479146340841e-05,1.61597669396346e-05,0.00014501260307254289,-0.0001559738400871736,6.91113280227885e-06,9.385375094673487e-05,-7.05514670968697e-05,-0.0005255645359204965,-0.001570313171029684,-0.0036212805824927066,-0.005771435598808461,-0.012232463139145307,-0.023478264820818696,-0.03959562470333529,-0.06864504553646603,-0.10806419528694075,-0.15500880524966834,-0.21209142753663773,-0.2830774015395326,-0.35485629257647217,-0.43798925668090233,-0.5287069828330819,-0.6208938643345042,-0.7156457969442526,-0.816673947550042,-0.9193474111212533,-1.0189822286080186,-1.1243805709282335,-1.2245777114225391,-1.3299465631940097,-1.4308118381456907,-1.5371051279212191,-1.6350692390341466,-1.7361330620597195,-1.8366688542277858,-1.9349073790409883,-2.0325755793168443,-2.1282242407869525,-2.219087208913032,-2.3113233536416473,-2.400487051728504,-2.4877849725132752,-2.573232100742801,-2.660031929306838,-2.7438422504904363,-2.8266223217249933,-2.9026130830684767,-2.981645971756805,-3.054867781221371
10000,-8.419706845906525e-06,-1.8316339157464207e-05,3.559639291510731e-05,-2.9571976119586604e-05,-5.982376073146977e-05,-0.00036924575197262325,-0.00045943524606312746,-0.0003256569485296554,-0.0010394259337773682,-0.0022586253699841217,-0.005656450323009006,-0.011658528292728062,-0.01855113666026365,-0.03568244462987253,-0.06156120265446989,-0.09292396421665157,-0.1369314453120679,-0.19017326166545215,-0.25730085943320635,-0.3268412376029043,-0.410683086308669,-0.4907327040780944,-0.580108125879624,-0.6745174932583599,-0.7687347174441246,-0.8725484558184387,-0.971129360139008,-1.070128851424962,-1.1741710407959507,-1.2746952755536012,-1.3771248558399891,-1.4755224131448175,-1.5798250177539175,-1.6776611971217912,-1.7762078522668079,-1.8701045094296551,-1.9687339271351179,-2.0641460699089094,-2.15369818883527,-2.244918302156061,-2.338362250151066,-2.4242796824447,-2.5109564274012817,-2.599872295164599,-2.677811497183922,-2.763323047220545,-2.8384773116673014,-2.919212549117717,-2.9930657726645715
10500,8.078766387699579e-06,2.1667372809861566e-05,0.0001498079616348866,-0.00033530728679059715,-5.79035143530103e-05,0.000150043017134735,-0.000683596356503578,-0.000970052415264495,-0.0017255293144955225,-0.002251526636898669,-0.005162066304443521,-0.009473927284704064,-0.015454411623096393,-0.029579289100209124,-0.051848364217311406,-0.08487810215650633,-0.12420332385428977,-0.17668400554672922,-0.2355864172080127,-0.3039606299141678,-0.3792816697407444,-0.46153672891774367,-0.5469254291675671,-0.6393366295968761,-0.7323135043104557,-0.826273267379593,-0.9268853774773141,-1.025004987285977,-1.1270705999212862,-1.222833959923516,-1.3226513879812645,-1.4258547588583987,-1.5232302035398524,-1.6226571166182484,-1.716842596821334,-1.8142722291147864,-1.9101951823867263,-2.0041399367465007,-2.093870162294911,-2.1885629417472052,-2.2764171701168414,-2.3643604497996673,-2.449546943257547,-2.536124735134041,-2.6209739886348147,-2.7014985877879107,-2.7785360726594126,-2.859097996029114,-2.9367657732359826
11000,-1.756467944575309e-05,-3.410355256273421e-05,-8.003169153361383e-05,0.00013135706406400768,-0.0002517485938358486,-6.448742286278229e-05,-0.00047385790952496045,-0.0006245345571898681,-0.00037217472469463033,-0.0018587992443493313,-0.004553083107025665,-0.007809555976082307,-0.014343765407310832,-0.027044634769308632,-0.047426503219511855,-0.07577660462692548,-0.11505591234418223,-0.15903635745292494,-0.21398929410342388,-0.27885420368736347,-0.35136793812214845,-0.4306403219181159,-0.5136514528389177,-0.5995688561039444,-0.6917602835997385,-0.7889823061775,-0.8801686563292086,-0.9808357696429997,-1.0767617569316217,-1.177778865975019,-1.274816389625549,-1.3714953978671782,-1.4715762386663207,-1.572442741815542,-1.6612823143019602,-1.761743680468763,-1.856459286069716,-1.946643722024273,-2.040461461184752,-2.128763876170644,-2.2207627558133956,-2.3073062707385077,-2.392372394582798,-2.4771390375658333,-2.563916097909805,-2.6461595409802627,-2.722187717997921,-2.80193415755941,-2.873834998943891
11500,-5.0227527214543615e-06,7.407952087565522e-06,-3.4201795270716156e-05,-1.369414153435753e-05,0.00018601963583652384,-0.00018000963436491438,-0.0003564338541097107,-0.0011035377935530106,-0.00048206213694395965,-0.0012622872901658945,-0.003411661660011439,-0.007849894158395957,-0.013403692880117815,-0.02333698169872838,-0.040775080328433154,-0.06822102825671045,-0.1025725498089863,-0.14483113443241585,-0.20096717244828005,-0.26060347671110917,-0.32608135254636755,-0.40251094675874305,-0.48285070318364137,-0.5674182875693116,-0.6555699503235135,-0.7506143316268693,-0.8450847199879192,-0.9373280092467228,-1.0330940083582913,-1.132242650055281,-1.2306568262884978,-1.3248996054416458,-1.4208647041429028,-1.5205688916907776,-1.6125426465949626,-1.7110249716692985,-1.8013435137978453,-1.8947570616444191,-1.9845151787461144,-2.0763441575811012,-2.1654983662367204,-2.2530442344986716,-2.3358915403206355,-2.423457684331614,-2.507260257484585,-2.5886520987620463,-2.6662718837023553,-2.747311693906542,-2.8241619991771785
12000,-1.1561850406131394e-05,2.6790421467204144e-05,1.0005202246693348e-06,0.0002640298174839594,-0.00026978837661244145,-2.0194042753822818e-05,-0.0007057249545985088,2.5849056053275458e-05,-0.0012029143606896104,-0.0006144633689954812,-0.0017726356560574794,-0.006752505957406961,-0.012167233496881617,-0.023673943499253648,-0.03507634526551467,-0.05941686468242061,-0.09488894612387,-0.1321691519451602,-0.18266660721536343,-0.24178701417384726,-0.30428029772238047,-0.37999731953773846,-0.4568865903172348,-0.5366904292320548,-0.6233236149305691,-0.7153812158945939,-0.8053422865810692,-0.902437775434663,-0.9951466047739564,-1.086578003043744,-1.1851537362321325,-1.28179284514971,-1.3755105536213257,-1.4726084787104134,-1.5657261808832428,-1.656727752089043,-1.752117287552808,-1.8441214575788714,-1.9334334652980156,-2.024834477303015,-2.111458006377676,-2.2030846453003767,-2.2850489509759555,-2.3668730562496094,-2.4517906388243125,-2.5328348469026998,-2.6137909548612175,-2.6915019488331122,-2.769762950271399
12500,-6.549163196762476e-06,5.345483048317401e-05,4.737167499661601e-05,-4.0747693854010565e-05,0.00016220572358613048,0.00022139611374148079,-0.0002942594130176284,-0.0008673759866033357,-0.001292584566556554,-0.0024835716551880028,-0.003081955986601916,-0.004911417221016148,-0.009799513205270505,-0.01914779844000927,-0.032102070006441726,-0.05418021353118969,-0.0823803649922526,-0.12001964963154886,-0.1696381688358825,-0.22265831022463234,-0.2867003222569099,-0.35310555599308846,-0.4300435131967229,-0.5132265012640675,-0.594053306610835,-0.6808349238133513,-0.7702850752162498,-0.8613151623282167,-0.9545566716587314,-1.0503870422856176,-1.1457032485995355,-1.2395687615871676,-1.3327328394136824,-1.4277977976372245,-1.5187729582541918,-1.6109752714686842,-1.7058050418329316,-1.7957690004354265,-1.8859341712373356,-1.973601076080816,-2.0634786631643443,-2.147049032086893,-2.235226020496691,-2.320421012792928,-2.401486603914945,-2.4845289024047825,-2.5619473925475065,-2.6396267331258647,-2.718564592784503
13000,1.0507882418791636e-05,-5.244050030502374e-06,3.426257418119575e-05,-0.0001194775132656042,6.998034535952528e-06,-0.00022949347862462853,-0.0004009451470313098,-6.708393757792637e-05,-0.0003361487283383526,-0.0009109730581446084,-0.0024261024633197314,-0.004720659451083546,-0.009685725471230285,-0.0156437556735075,-0.029274597140368664,-0.04984019840854591,-0.07422824362115411,-0.1107259791539836,-0.15545280899212208,-0.20754979790672032,-0.26948602724553,-0.33705178875060243,-0.4038053631817959,-0.4854393123318294,-0.5669398492256246,-0.6496354304679602,-0.7387265630717478,-0.8301347160464021,-0.9174808055838171,-1.0119770367307726,-1.104500863985833,-1.1981265142489772,-1.292517621501956,-1.3834844714941865,-1.4770335568872957,-1.5692268568784689,-1.6580621774438884,-1.74811340857497,-1.839965071861891,-1.9282440921736108,-2.012594714435097,-2.1011315933901673,-2.1863360940732117,-2.268815352450036,-2.3515828847663878,-2.4344482171933253,-2.5140306274343365,-2.5915387242010537,-2.670223286020696
13500,7.139821112854698e-06,-1.7158276456980654e-05,-3.9064632840639176e-05,0.000206353276958854,0.00010271685006583142,4.530021099944913e-05,0.0002492108197142436,-0.0007083530515331974,-0.0009319994830854744,-0.0005100319030310209,-0.002273869312097665,-0.0032937457739863007,-0.007999179078146864,-0.013873635811171568,-0.02573722996714173,-0.045257140833603965,-0.06919320293679092,-0.10421972990138519,-0.14415719053853462,-0.1939206826381587,-0.24948022748554138,-0.3137239081640272,-0.38200166053313606,-0.459015369228086,-0.5400322406753969,-0.6191315876696127,-0.7093584620631953,-0.7945476240451722,-0.8859328694117241,-0.972741201598544,-1.0674251845585123,-1.1581947008458302,-1.2513611887127836,-1.3453175477011696,-1.4370200104990036,-1.5276651656607754,-1.6172438932368478,-1.7059020269040395,-1.7959315680399373,-1.882606427811765,-1.9687165577651788,-2.0564936426731792,-2.142253610081477,-2.2239445487162994,-2.304270377964408,-2.383949918871829,-2.4658071297373563,-2.542981204802186,-2.624420497211188
