,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
10,0.0,4.7689508564374705e-08,0.0,0.0,1.9079272828292915e-07,2.385053718967356e-07,3.815392179973287e-07,5.198262553740562e-07,0.0,-4.440892098500626e-16,7.628935811965221e-07,2.8596382728451886e-07,5.726560221575028e-07,1.1926717502497297e-06,1.1451732264688985e-06,1.7170310764313967e-06,1.9079280404454835e-06,2.146028917238141e-06,0.0,9.070908149055867e-07,0.0,1.4293005587973084e-06,1.9058495581703028e-06,0.0,4.006650828003444e-06,3.6270441272634457e-06,4.577365522173693e-06,4.533255923533375e-06,4.766357225349793e-06,5.57832761405308e-06,2.6746692078916112e-06,5.774638915490016e-06,4.965434893478005e-06,3.571525485135396e-06,5.348041604236187e-06,7.444991890537267e-06,6.684241940391189e-06,5.927095453550635e-06,9.538500632011448e-06,4.998929266974983e-06,1.9121054917192737e-06,3.727926396912551e-06,-8.881784197001252e-16,8.333568616514242e-06,1.2404570625790257e-05,8.567204771381398e-06,1.3360392044248215e-05,1.0571732498299014e-05,0.0
11,0.0,-2.220446049250313e-16,0.0,0.0,0.0,3.8205734531615576e-07,0.0,3.6073391695978785e-07,0.0,6.010896242969466e-07,-8.881784197001252e-16,8.416190282467539e-07,9.619037912855788e-07,0.0,0.0,3.208664223208757e-07,1.4422148613135732e-06,1.2029815827929724e-06,0.0,1.804271915872846e-06,1.9246638007786032e-06,1.2033832677005307e-06,0.0,0.0,2.4063654189276917e-06,2.5226164854785793e-06,3.2038561563751955e-06,1.564921095820182e-06,8.881784197001252e-16,4.769708880303369e-06,5.129588447339017e-06,3.249860002441096e-06,5.7701467630622005e-06,6.009568587650449e-06,5.774638914601837e-06,3.7217998034577704e-06,2.7296455629155503e-06,3.9733795631491375e-06,0.0,7.568697884430264e-06,4.3353210408270115e-06,9.21877454551634e-06,8.970809180830486e-06,9.009358076461638e-06,1.0416017819814272e-05,9.94688123423515e-06,0.0,1.1898961986389622e-05,0.0
12,0.0,3.414837945747706e-08,0.0,0.0,1.365725101898363e-07,2.0489028607073578e-07,2.7317304285290334e-07,2.3896514544929914e-07,0.0,1.7081200187618606e-07,5.464582262248996e-07,-8.881784197001252e-16,6.827226362027261e-07,8.534470694598895e-07,8.191832248094499e-07,1.1265502015689322e-06,5.45954293329487e-07,5.800467386407604e-07,0.0,1.878161684842894e-06,2.0485885583454433e-06,2.1517904560397483e-06,1.366987650186502e-06,0.0,-1.7763568394002505e-15,2.391860401296242e-06,1.6373602873542836e-06,1.7054963805662737e-06,3.4164179760765023e-06,3.587423179851612e-06,1.9098628643021698e-06,5.472167474707135e-07,2.865088077008693e-06,4.2716198667136496e-06,5.4645884661752575e-06,5.125418384821501e-06,1.2271411922171183e-06,5.774638914601837e-06,6.829336412828013e-06,7.1377552641749276e-06,5.469641791044921e-06,4.296095085898344e-06,6.562897202577744e-06,8.534485824718274e-06,7.641807474811912e-06,7.880211031263684e-06,9.557156910311448e-06,9.29505563362909e-06,0.0
13,0.0,2.94413540213867e-08,0.0,0.0,1.1778224395797565e-07,0.0,0.0,2.0614838946997338e-07,0.0,4.1213974855125457e-07,4.709944412262246e-07,6.182685221567397e-07,8.881784197001252e-16,7.362443410485753e-07,9.421683944133008e-07,7.658400775767404e-07,4.713985157778211e-07,1.2952966192969484e-06,0.0,1.4422148639781085e-06,1.0592335524250984e-06,1.765977517109718e-06,1.8850554539540099e-06,0.0,1.7653895403313413e-06,2.0597192254001584e-06,0.0,2.9138636721270927e-06,2.942876559330898e-06,2.2102084438202496e-06,2.828662411857863e-06,1.7056511856239354e-06,1.768757326381376e-06,0.0,4.709949025460958e-06,3.0881112067504546e-06,3.529438014737707e-06,5.593864488950828e-06,0.0,4.862461558730047e-06,5.774638914601837e-06,4.510118752243386e-06,2.3513942357666906e-06,7.362454682358077e-06,4.468923886058462e-06,1.9470278287414544e-06,4.7180409818992075e-06,4.335321039050655e-06,0.0
14,0.0,-2.220446049250313e-16,0.0,0.0,0.0,1.5388063712151734e-07,2.0518330412500063e-07,2.3080044719847592e-07,0.0,2.3090306688899886e-07,-8.881784197001252e-16,1.5396276520363017e-07,5.130951410414752e-07,0.0,6.157689513841547e-07,5.383430892180741e-07,9.235713411825941e-07,8.980363874755426e-07,0.0,6.920325281711825e-07,5.133691596270751e-07,5.381519683211877e-07,1.8466504396741357e-06,0.0,2.1542341883673544e-06,1.6168973422381328e-06,1.2321958919869758e-06,2.539935087142453e-06,8.881784197001252e-16,7.446837289037944e-07,3.076657878686717e-06,2.768131441399646e-06,3.5916685448000862e-06,3.203856157263374e-06,3.6913342640332303e-06,3.670102058705993e-06,4.306939703546675e-06,4.152198489038028e-06,5.129588447339017e-06,1.46421090718718e-06,5.541433966804732e-06,5.768993332821992e-06,6.154413569881001e-06,5.774638915490016e-06,1.1264077439676612e-06,6.927102718989886e-06,5.53405617953473e-06,1.7663341926876797e-06,0.0
15,0.0,2.2543049205125953e-08,0.0,0.0,9.016092805680387e-08,6.764042437268358e-08,0.0,9.01947521114721e-08,0.0,2.7044899919559384e-07,3.6073391740387706e-07,4.5078590327207735e-07,5.409656282928665e-07,5.634354534045372e-07,0.0,7.890726347881127e-07,9.016094564273658e-07,8.738234376082232e-07,0.0,2.2559978329894648e-07,1.2626742380561495e-06,8.571362277720596e-07,1.4422148622017517e-06,0.0,1.6237092168580602e-06,1.712416359822555e-06,1.8042719140964891e-06,1.1280933094326429e-06,2.2551520189040275e-06,6.529870901772483e-07,0.0,2.997478298460976e-06,2.703478318544228e-06,3.382023806786094e-06,2.5226164854785793e-06,2.6126013104033063e-06,4.057921780820095e-06,1.9137691227300024e-06,0.0,2.0261753927997006e-06,4.958856663961342e-06,9.227284882840081e-07,3.2498600015529178e-06,3.94898853262049e-06,1.8965433152828837e-06,4.165610678619203e-06,5.774638914601837e-06,5.269812334951496e-06,0.0
16,0.0,1.996731469056101e-08,0.0,0.0,7.987865657810289e-08,9.982874527025842e-08,1.597447853995959e-07,1.9967315312285905e-07,0.0,2.396641805013644e-07,3.1943947798040995e-07,2.1972664754343896e-07,2.3952327010690055e-07,4.993004054654193e-07,4.790841150459357e-07,-8.881784197001252e-16,5.588876703654932e-07,8.384958603002701e-07,0.0,7.990688173364902e-07,1.1179507284353463e-06,1.2980794483752334e-06,7.982233549697071e-07,0.0,4.796483841218446e-07,1.0989785357296e-06,1.9172389702504233e-06,7.7805447951107e-07,1.9960280628339433e-06,1.4964932049110757e-06,2.3969251170541384e-06,2.656279481705326e-06,-1.7763568394002505e-15,1.4990782339907582e-06,1.2765576711259996e-06,2.6974937679113964e-06,3.1167370675433403e-06,7.398358929933124e-07,3.9936231770454356e-06,3.6320609044793173e-06,4.15174043766342e-06,4.055914118339388e-06,2.8722558180760416e-06,1.999557047938083e-06,3.5979308874445337e-06,2.79916024670257e-06,1.7544433719152153e-06,5.969767086000388e-06,0.0
17,0.0,-2.220446049250313e-16,0.0,0.0,0.0,8.906514725737225e-08,0.0,-4.440892098500626e-16,0.0,1.6025791227392006e-07,-8.881784197001252e-16,3.2053956822153395e-07,2.1381181403157257e-07,0.0,5.699536709258268e-07,6.233175815495429e-07,0.0,6.948112165616749e-07,0.0,9.619037930619356e-07,3.5598378467227576e-07,9.970867171915643e-07,0.0,0.0,7.831643999978155e-07,1.44221486308993e-06,1.709608207889346e-06,1.6914866654005323e-06,8.881784197001252e-16,1.8693995933460883e-06,1.7088491119920945e-06,1.9246637990022464e-06,2.1384361490461856e-06,1.3345939890996306e-06,-8.881784197001252e-16,2.242615864567199e-06,1.7115103796427888e-06,2.40636541981587e-06,0.0,3.7404622466041815e-06,3.203856157263374e-06,3.470972770536207e-06,4.275289619215528e-06,0.0,4.276874415509724e-06,4.915673294192402e-06,5.129588444674482e-06,4.705085681955268e-06,0.0
18,0.0,1.598610177566684e-08,0.0,0.0,6.393767604251366e-08,1.486677283502047e-07,1.2788432846022602e-07,1.5986102042120365e-07,0.0,2.2382114117647234e-07,2.558045699707634e-07,2.3984203822990935e-07,3.83679935378467e-07,3.9956846009658875e-07,3.837607449597158e-07,3.358260212138475e-07,4.477523170010045e-07,8.881784197001252e-16,0.0,8.31102478393575e-07,5.757624386149018e-07,8.498401138368195e-07,6.397809952929379e-07,0.0,1.27857448184443e-06,7.358257079204122e-07,1.2783055067799864e-06,1.630811888198025e-06,1.5991158450745502e-06,1.9020799610913741e-06,8.959452566514869e-07,9.279759263236542e-07,2.2375058383872215e-06,2.3974118592562377e-06,1.0240814534157039e-06,2.0155231883478564e-06,0.0,2.9420641762811783e-06,3.197110485686494e-06,2.783146475060505e-06,2.172053993554357e-06,9.603802695323793e-07,1.2804620785900056e-06,1.5965951210006324e-06,4.220483023509303e-06,1.9638121653287044e-06,1.4087065567380819e-06,2.064818110270039e-06,0.0
19,0.0,1.4426469574502221e-08,0.0,0.0,5.7711650125469305e-08,8.656458927447375e-08,0.0,1.659073056714533e-07,0.0,7.211312258448288e-08,2.3080044764256513e-07,2.1635379043871694e-07,2.8848133615255733e-07,3.607339191802339e-07,0.0,3.749882626635781e-07,5.771165678680745e-07,5.625198991054958e-07,0.0,4.90303949440829e-07,8.656749113100659e-07,6.49494373838877e-07,9.235713420707725e-07,0.0,1.154387240909216e-06,1.2260050974433057e-06,6.920325281711825e-07,8.661659443021108e-07,1.4422148613135732e-06,1.6882352520397603e-06,1.8466504396741357e-06,2.3059306197836804e-07,8.648679692413452e-07,1.8042719132083107e-06,1.616897340461776e-06,1.946536453800718e-06,1.3837889154544314e-06,2.653941321817399e-06,0.0,1.0687708913437177e-06,1.095207974977086e-06,3.2898955550919595e-06,2.7681314422878245e-06,2.5226164854785793e-06,3.6343832956475808e-06,2.858921496873279e-06,3.6913342649214087e-06,1.2966550384518882e-06,0.0
