N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
6000,-1.0003033590477124,-1.5854668209945686,-2.000658317607511,-2.3229049287092423,-2.585841195304762,-2.8086182915882403,-3.0019911481221473,-3.171445503346009,-3.324570677001473,-3.4619143507542804,-3.5878475507555008,-3.70407596905432,-3.809307176362161,-3.90820822333764,-4.001671208071886,-4.089583556605571,-4.173971038953862,-4.250613033303519,-4.325589854116109,-4.394322738483623,-4.461603617424605,-4.527108555891642,-4.588534837881539,-4.646808820958124,-4.704943306544245,-4.758231807658209,-4.8082829764739925,-4.857185359767004,-4.90709474728404,-4.956611545142502,-4.9992102685595645,-5.036904670833848,-5.079962387373709,-5.124099085032238,-5.161891320760634,-5.192172819715783,-5.231111127866464,-5.262406990578097,-5.294133062672237,-5.326106624820091,-5.353868965924252,-5.37977778481422,-5.411669153216775,-5.433006107655373,-5.4593823878692245,-5.47866828262005,-5.503332510388532,-5.519555332295326,-5.526745862580783
6500,-1.0002013317828777,-1.5855212097899174,-2.0008129334996205,-2.322960270137685,-2.586252945262024,-2.80871379943464,-3.002269068702025,-3.1715846374043997,-3.3241829293100835,-3.461429105470654,-3.5864861824220857,-3.7029200385173686,-3.8108398571048716,-3.9099619978534474,-4.003227548204921,-4.092440869160007,-4.171510766175792,-4.250597450436468,-4.322516282502706,-4.397491582399013,-4.460874143677395,-4.526072029723783,-4.585012303425057,-4.648442241173035,-4.702133428594622,-4.758825471124544,-4.807715587225909,-4.857533927058882,-4.9052881590641295,-4.954582371825239,-5.000951450149552,-5.038855129296352,-5.083636646824064,-5.120505075569964,-5.16370568059576,-5.196748345438208,-5.238972321114874,-5.268537400710716,-5.302385697883271,-5.336071730352763,-5.3652952191426495,-5.395281711888122,-5.419453036399633,-5.44566382748118,-5.471816402646541,-5.495803941133755,-5.517725544498793,-5.537382578543901,-5.557777761761479
7000,-1.0002281973332845,-1.5852683914447432,-2.0005375675212793,-2.3227229965124385,-2.5857878955024254,-2.8089493059440445,-3.001226958663793,-3.1718761445429777,-3.3238683136427363,-3.4624950142989914,-3.5867178081203703,-3.7035418911734066,-3.8100599754040974,-3.9099647811225067,-4.003499813221797,-4.089276311996217,-4.174524328143188,-4.250018222868546,-4.325074620079633,-4.3932117076993595,-4.460762581055309,-4.5276910644246815,-4.585456733387578,-4.645186356679182,-4.7032233719786785,-4.757764056866496,-4.8078163189588485,-4.859659653590367,-4.907225908540864,-4.956099069435546,-5.003563630051398,-5.040551550358599,-5.084224844931951,-5.125370319869524,-5.171591374835786,-5.201543174882013,-5.237160115958209,-5.273855141040472,-5.311155001257201,-5.338044714534095,-5.370681307466179,-5.401256116785737,-5.432410912726624,-5.462280624193128,-5.479605282078362,-5.508821623510602,-5.531857884111743,-5.557384586341276,-5.573837951298883
7500,-1.0001804744055172,-1.5854716706540422,-2.000741264883867,-2.3225788637618847,-2.586017308882432,-2.808568034754464,-3.0015371217250992,-3.1721974697109427,-3.324063317003844,-3.461417379450215,-3.5871203130291796,-3.702409354107861,-3.8102636205307463,-3.908806519101996,-4.002899618224415,-4.089567201695437,-4.172459286285014,-4.2505731392912445,-4.3247249136358015,-4.395875951978449,-4.461865595422298,-4.526130939936561,-4.588034490528691,-4.648075911429416,-4.702893144057345,-4.756824970901568,-4.8082335798635585,-4.858322997958955,-4.909722213507647,-4.9540046640235955,-4.999709812707426,-5.044072654811417,-5.086240185384384,-5.126655082329815,-5.168344794908502,-5.2035649019525,-5.246856264639139,-5.274606420444029,-5.31731469667594,-5.3406300596125025,-5.373672984139405,-5.408129555024987,-5.432581300110053,-5.460684431137534,-5.493458275895603,-5.517848806410345,-5.535654989833242,-5.569844661203973,-5.591010558360024
8000,-1.0001874979815806,-1.5853473234502606,-2.00053835807327,-2.322516810225827,-2.585951376390783,-2.80824022687307,-3.0013876104915167,-3.1716305679507726,-3.324101503773498,-3.4604739805790907,-3.5869957793414673,-3.7018460671512115,-3.8098634440442547,-3.9103882043950686,-4.001431039749857,-4.09136589762217,-4.173111775356609,-4.250501140538932,-4.325156304035508,-4.395797955660071,-4.462820293376989,-4.525914538182948,-4.586934849364288,-4.644928519630922,-4.702676164125333,-4.7564191738951385,-4.810326510984202,-4.858605372792835,-4.909197087171794,-4.958113338303597,-5.002034874938986,-5.045337553126612,-5.088297927673617,-5.130661917334691,-5.165661758560509,-5.204269496840494,-5.243971155576484,-5.277861544657177,-5.313452615830575,-5.349124131118882,-5.380041830202353,-5.4095010624900945,-5.440497178450179,-5.4689605306147975,-5.497268722250015,-5.521692748147945,-5.545705621154552,-5.573585109414462,-5.595933183937398
8500,-1.0001500240392234,-1.5854006546639419,-2.0005245780329286,-2.3224353569279907,-2.5858847234488973,-2.8088776612895625,-3.0012470122492148,-3.171470570616781,-3.3236449760466247,-3.4615476805662846,-3.586581110124294,-3.7017430225946595,-3.8095243554825755,-3.909194440915942,-4.002009507759775,-4.089342612668963,-4.1725945119150865,-4.251004061601233,-4.324303721486805,-4.395563678670638,-4.461761196683074,-4.524395348044355,-4.5885553715248095,-4.64563973828371,-4.702990032831692,-4.75612017455926,-4.8074023828995225,-4.859764935172973,-4.908613915648052,-4.957260356943091,-5.003114733312763,-5.044148760117614,-5.087743651686994,-5.127201251613035,-5.166815664180725,-5.207865284887204,-5.243002316656768,-5.283567575521486,-5.31526833897608,-5.3553098355815205,-5.382157540601091,-5.415654015312856,-5.444469760135789,-5.472981613760058,-5.501214671245752,-5.531757140977849,-5.555252330199425,-5.581624913268349,-5.603285378264191
9000,-1.0001734108135625,-1.5852395454994903,-2.000417290406991,-2.3227470289923926,-2.5859141362012736,-2.8082736977862384,-3.0016096666805114,-3.170941111342334,-3.322437871861914,-3.4604126372303514,-3.5872624913885662,-3.703624574093573,-3.808848699907203,-3.908968954485988,-4.002244279704528,-4.0895697366112875,-4.171152026358407,-4.249676776639654,-4.323855591535172,-4.393798669611493,-4.463018579749558,-4.526595166812061,-4.5870425464447475,-4.647328835020778,-4.70309810345997,-4.755594025829628,-4.808968666171793,-4.85920172435996,-4.909669800035232,-4.95605822077302,-5.000483234853202,-5.0452709414035,-5.089838736203614,-5.12923690346567,-5.1700430629235195,-5.211752859850837,-5.2430770616127536,-5.282621788084145,-5.319385944070297,-5.350483640688437,-5.384586849436862,-5.418737414396564,-5.44631844051651,-5.479101162629961,-5.503133372552272,-5.537707595439873,-5.559564230449337,-5.586049567388885,-5.614197111459423
9500,-1.0001223634998242,-1.5851700900206596,-2.000324559138295,-2.3224766325639137,-2.5854106895741036,-2.8082680346539,-3.0008653807345618,-3.170611413323164,-3.3229969039868634,-3.461334073008406,-3.587064343432734,-3.7017940019782802,-3.8093569322948175,-3.9088195366779783,-4.001075703796062,-4.089361522666841,-4.1720370437553544,-4.250694657612353,-4.323767723169943,-4.3962900635064415,-4.461636259995374,-4.525594920589991,-4.589335705335341,-4.646611528436461,-4.7040228976544265,-4.757623263453343,-4.809667434489389,-4.860250513001237,-4.909289521153865,-4.957075590316959,-5.004424887699096,-5.045839005808491,-5.087557888818416,-5.1311911944802375,-5.172117804264922,-5.20994052487328,-5.2478823427345,-5.280018292147204,-5.3168828589959105,-5.352412838344077,-5.389055786476117,-5.4211644568448145,-5.450278412786437,-5.480184389678635,-5.510319157571908,-5.537890019013038,-5.561714597836129,-5.590804968332156,-5.619876674569028
10000,-1.0001669199609706,-1.5853346492597495,-2.0005362602214958,-2.322494245519521,-2.5853848772337398,-2.8083211163133694,-3.000870323974943,-3.170706178470191,-3.3233918257048694,-3.460333009502215,-3.5865812647838005,-3.702285750842712,-3.8087934043204466,-3.9087911754049514,-4.002377603315569,-4.089188468125659,-4.17282743146208,-4.249170173867627,-4.323967143359211,-4.395310544580618,-4.462227040446013,-4.526102867068241,-4.588064340680579,-4.646753696817326,-4.7035413932912045,-4.757613500417573,-4.808980878158635,-4.860064251291888,-4.908887584625713,-4.954668358412673,-5.00346113458117,-5.044481798701208,-5.088643621782867,-5.1297720913376565,-5.1702357501906215,-5.208552661040503,-5.246367400300199,-5.283867769221173,-5.317079476461824,-5.354369907786439,-5.388159824424675,-5.417774340210923,-5.450850603798009,-5.482312660834949,-5.515563050227481,-5.539213462970418,-5.566691263563196,-5.59714658720702,-5.619933321943123
10500,-1.0001126387080648,-1.5853356699806842,-2.0003983767750704,-2.3224796191065042,-2.5855654222639677,-2.807951039488246,-3.000889552262298,-3.1708158901795076,-3.3231440980068707,-3.4599924827346302,-3.5860132711069075,-3.702149701795728,-3.808944051812105,-3.9088194776048564,-4.001656666823588,-4.089800815418745,-4.172772246164268,-4.25022777671813,-4.323477560285501,-4.3944112361366905,-4.461907722521555,-4.524957740427837,-4.587030404326094,-4.646254983360835,-4.702689852430625,-4.7588861186662275,-4.809548900134871,-4.8604276418869805,-4.911506273756428,-4.955440981347631,-5.0024151915728305,-5.047871134441575,-5.088445769971168,-5.1321240497261265,-5.171042406048107,-5.21004623919174,-5.245498359064073,-5.283813128526334,-5.319670320860237,-5.354594679487259,-5.38998768116006,-5.425274419130535,-5.452431647873207,-5.483475238388994,-5.514250314692733,-5.543313750683539,-5.573267954175758,-5.597447830042774,-5.623467975244336
