N,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
5500,10,10,10,10,-0.0001427334713284,-0.0007286078794837,-0.0019473105772536,-0.0039896832832497,-0.006223767110761,-0.0085151490209858,-0.0116021075937342,-0.0163407330399305,-0.019961727213543,-0.0259314608715364,-0.0294476544437252,-0.0365232257512841,-0.0438076677269592,-0.0506115458699705,-0.0583116426153877,-0.0637892857704178,-0.0728998206040767,-0.0827524885120949,-0.0925668091872742,-0.1029820855882803,-0.1149780044682726,-0.1299797880299777,-0.1375229065332028,-0.152410748693792,-0.1641002343393873,-0.1795260043089648,-0.1958139647521832,-0.2094879507765146,-0.2271866721148985,-0.2396435552232096,-0.2570873348481806,-0.2781435841881086,-0.2940884914866277,-0.3152995712397661,-0.3343222550255706,-0.3583945988888519,-0.3787902355915378,-0.4051040255543183,-0.4287004545297685,-0.4493882994462312,-0.4780882250774523,-0.5048769904683601,-0.5250161260305637,-0.5574048077223326,-0.5905081638102985,-0.6202711030770347,-0.6444127881730743,-0.6773344480007504,-0.707278957909864
6000,11,11,11,11,-5.731471251002596e-05,-0.0006979255939949,-0.0018663987140448,-0.0033512513007867,-0.0057336576871347,-0.0081141482351418,-0.0106324334856311,-0.014830041893044,-0.0179158222185571,-0.0227644310985732,-0.027531770411064,-0.0324311251089963,-0.0402465756414449,-0.0474935544876222,-0.0542332247625609,-0.0613578664438829,-0.0674875915991943,-0.0773840549094044,-0.0854246595461463,-0.0965708304501014,-0.106390803039587,-0.1154757410387103,-0.1263824261339152,-0.1384234678512701,-0.1487747447188496,-0.1622931151442106,-0.1775493520864746,-0.1925538512120592,-0.205227607174617,-0.2172751600819653,-0.2350673761359045,-0.2564986125820416,-0.2717941703950384,-0.2854995783574541,-0.3042670624108785,-0.3294156329819433,-0.3456226153406154,-0.3685367205219574,-0.3898473676986596,-0.4102810675905353,-0.4346365599999657,-0.4594103355076475,-0.4781745009248466,-0.5061545861019248,-0.5287995061060791,-0.5575723234308176,-0.5809387290118444,-0.6106534948468569,-0.6477415782053519
6500,12,12,12,12,-0.0001315978419428,-0.000551056347307,-0.0015175738741231,-0.0029629802475237,-0.0048132652475083,-0.0072972928682983,-0.0093834681666939,-0.0134331736964434,-0.016722154192049,-0.0213075869040815,-0.0265533833256013,-0.0308126421057761,-0.0354678310567346,-0.0419850736474503,-0.0483765436422607,-0.0536175860587446,-0.0644452775225925,-0.0712404397172754,-0.0816454297153272,-0.0858266044973588,-0.0987692920308829,-0.1073567025240045,-0.1199084403369896,-0.1259223615313374,-0.1397791847868728,-0.1489803069370472,-0.1643951085012149,-0.177484245676033,-0.1913427289476628,-0.2025530409800167,-0.2154454075476852,-0.2358375092046216,-0.2484628827444011,-0.2678267832298031,-0.2803165817432402,-0.3018433016932125,-0.3139335255365312,-0.3371801094094184,-0.3557347321478614,-0.374245106289047,-0.3955383061319022,-0.4162344077840796,-0.441528701951758,-0.4637200105539758,-0.4856268389126947,-0.5092534897982732,-0.5339525011679953,-0.5605931120885757,-0.5857170136355752
7000,13,13,13,13,-8.095160404875124e-05,-0.0007246057341909,-0.0016264750400543,-0.0029148856229239,-0.0048423357365088,-0.0064434884842272,-0.009593254142874,-0.0120636087251129,-0.0156812706726263,-0.0185770299516403,-0.0243162529825649,-0.0278127207010201,-0.0334653723215083,-0.0387639706717921,-0.0444182720648718,-0.0525967422247912,-0.0567152125369059,-0.0665403546630418,-0.0732132623290668,-0.0836064246171846,-0.0917228677193264,-0.097890040952338,-0.1109024344193612,-0.1198562165302146,-0.1286046445290871,-0.1391189872023721,-0.1525329771968371,-0.162747356340235,-0.1759208012059749,-0.1866025229844359,-0.1975068387902121,-0.2178560733511529,-0.230613604738874,-0.244925208620522,-0.2535188994342432,-0.2772682248572913,-0.2944905522171543,-0.3102673910024141,-0.3247378844095259,-0.3484623693358282,-0.3660692513602441,-0.3850160104292381,-0.4025473550776857,-0.4213534854309078,-0.4509203350842723,-0.4690333432347016,-0.4920411478116877,-0.5126672925840294,-0.540481091309732
7500,14,14,14,14,-0.0001080646026607,-0.0004526267610396,-0.0012785081733774,-0.0028116992236104,-0.0042350736553169,-0.0062889015157634,-0.008561743561124,-0.010807966768763,-0.014311501349653,-0.0182119697595282,-0.0221756440483038,-0.0268842648510103,-0.0308503654836602,-0.0371330222799173,-0.0418239280431431,-0.0486785049941937,-0.0546926184458937,-0.0614100339678094,-0.0684723162714764,-0.0753087997022428,-0.0844162646765154,-0.0926488888191237,-0.1008982328058634,-0.1088875695510029,-0.1201756525593085,-0.1305981156848998,-0.1419417392640927,-0.153135101607365,-0.1617061485197686,-0.176097849704381,-0.1880264899689647,-0.2001251097432188,-0.2135873658848099,-0.2278678963766953,-0.239939075200505,-0.2577830178156617,-0.2667836154463954,-0.2902233859155538,-0.2985705277649986,-0.3250944296953832,-0.3415452367021441,-0.3559951423194265,-0.3795732260796969,-0.3987353017208503,-0.4132257752198836,-0.4352380634726627,-0.4620593560972672,-0.4745895337794019,-0.4974393591709614
8000,15,15,15,15,-8.300733858601639e-05,-0.000516861671451,-0.0013551791678969,-0.002657348503535,-0.0039703885334279,-0.0061478335088671,-0.0080800757143175,-0.0105573413390951,-0.013245394363365,-0.0178930104698742,-0.0207793367137458,-0.0256441830065483,-0.0291406004728513,-0.0331107778760078,-0.0404972848759781,-0.0437058799775051,-0.0504634479187613,-0.0574785539816558,-0.0635866049330253,-0.070457587964249,-0.0780334266304798,-0.0869141735290695,-0.0954997350569284,-0.1049657556491414,-0.1127283150865974,-0.1227204386648921,-0.1309225333265704,-0.1432543965167259,-0.1519476644544397,-0.1610611612382682,-0.1740220098841636,-0.1864686632726551,-0.1983169415127692,-0.2099578894124976,-0.227935075283626,-0.2415814736967876,-0.253320184455422,-0.2701051604175264,-0.2845111302135414,-0.2980969927923569,-0.3161432355636462,-0.3343669942343705,-0.3511269958104765,-0.3696623524805513,-0.3877544650723896,-0.4085258023424822,-0.4295720116497756,-0.4467384454466794,-0.4680598466615411
8500,16,16,16,16,-0.0001045692032863,-0.0004104901989141,-0.0012575746646399,-0.0025478568694894,-0.0037453200516059,-0.0050966850732967,-0.0076637512386295,-0.009995991152643,-0.0127949336637969,-0.0157054650466998,-0.0198520873818566,-0.0241560197974153,-0.0276179759486772,-0.0321511068455726,-0.0374524448292481,-0.0429286392631027,-0.0478248159583394,-0.0534431516795317,-0.060508904300482,-0.0663425637274732,-0.0743029879496779,-0.0831823780408962,-0.0881455609140493,-0.0980170025548616,-0.1056518133760731,-0.1157104903303842,-0.1259761942004393,-0.1336426920869877,-0.1434796926052319,-0.1522038856091043,-0.1626084946782944,-0.1766388729068619,-0.1872865177617448,-0.2010096097738793,-0.2136862369552625,-0.2242836187788892,-0.2397733189330946,-0.2493162479431392,-0.2669106260324296,-0.2756470233540504,-0.2967017478086617,-0.3107988028187609,-0.3288017773571665,-0.3463519415961897,-0.3636436704646986,-0.3785211009964486,-0.3996454671437179,-0.417232188028505,-0.4388734529757245
9000,17,17,17,17,-6.703835991916929e-05,-0.0005244524666041,-0.0012658538073795,-0.002066455976748,-0.0034565993670434,-0.0053329027818844,-0.0068060543913408,-0.0098842526311395,-0.0131958259138933,-0.0158504235506504,-0.0179778896295292,-0.0208600613956679,-0.0266387754477359,-0.0304624292670272,-0.035025342185103,-0.0402121591717934,-0.0464620611577348,-0.0516304533168225,-0.0574634492021193,-0.0642415272522107,-0.06878824010567,-0.0763150164938446,-0.0845618064542401,-0.090783430758691,-0.0995325134107556,-0.1097397966863393,-0.1174032534441833,-0.1266982310597662,-0.1343516308672656,-0.1447960554926668,-0.1560384904533185,-0.165797201697357,-0.1747870560678901,-0.1879972174173305,-0.1988349279723467,-0.2081576523540143,-0.2268651886787447,-0.2367161033157314,-0.2486712681076897,-0.2658023612256661,-0.2790480773834494,-0.2916100238014687,-0.3101801169847231,-0.3232038765541203,-0.3440624843808999,-0.3545787621051079,-0.3763739138303057,-0.3934697627324457,-0.4085321693126076
9500,18,18,18,18,-0.0001054304540003,-0.0005517238799117,-0.0012699985384767,-0.0021849897693431,-0.0037280336338358,-0.0050095302031434,-0.0071074076492982,-0.0096402473591954,-0.0119154462684996,-0.0140431223966115,-0.0171087807276282,-0.0214251115452692,-0.0246498823602623,-0.0288991740148003,-0.0342323590467472,-0.038193054456622,-0.0430670918621647,-0.0478031135802883,-0.0544254783120887,-0.0582910399843683,-0.0663613387431194,-0.0731390402291314,-0.0777085500806036,-0.0865398912374963,-0.0932292508621079,-0.1018975948335443,-0.1104454947113788,-0.1189168655610082,-0.127519559452601,-0.1360699698150416,-0.143868976240701,-0.1564669444290185,-0.1677081029948297,-0.1761659493011915,-0.1863851563290968,-0.1989034195822503,-0.2105571565701671,-0.2272501756523164,-0.2383872380136198,-0.2503618886100902,-0.2605422519278413,-0.274843773800618,-0.291273486618663,-0.3063682757578219,-0.3209114366962993,-0.3375086509675391,-0.3568344309535938,-0.3708705020729157,-0.3843799226833484
10000,19,19,19,19,-4.948429516282715e-05,-0.0003491989818507,-0.0009785695714372,-0.0020307004414412,-0.0035450348498615,-0.0046603164037017,-0.0067038249897248,-0.0090291492501659,-0.0108713117820928,-0.0142469070644168,-0.0166313282046011,-0.0197943929117143,-0.0238808157047585,-0.0273861295336135,-0.0311650563850989,-0.0363615222041486,-0.0400177474466776,-0.04679908443756,-0.0514128027930862,-0.0561573748745907,-0.0623422592874201,-0.0688724935127762,-0.0748758270006257,-0.0819329613616695,-0.0888701337065587,-0.0966756900631438,-0.1054941506849749,-0.113043808098622,-0.1214255717308567,-0.1315297392320733,-0.1374132271781682,-0.1499429869427579,-0.1582947292873369,-0.1687005820358278,-0.1788671663466319,-0.1903554173579857,-0.2015609266618234,-0.2123362400323021,-0.2266966438465045,-0.2364226040921631,-0.2488338683053843,-0.2649150310587798,-0.2769511463454535,-0.2901398119641607,-0.3010727854191852,-0.3208756815823967,-0.3365009092772473,-0.3486473418417963,-0.3677315230258493
10500,20,20,20,20,-9.346058349080089e-05,-0.0003138283789905,-0.0010443182658188,-0.0019216672795248,-0.0031755654690406,-0.0047624641498029,-0.0063239229421467,-0.008452279146657,-0.0105316564991584,-0.0138660863115567,-0.0163302698687681,-0.0188999455009208,-0.0225244873575003,-0.0259632221275163,-0.030288723367525,-0.0339355011453736,-0.0380291147698983,-0.0434537794507914,-0.049357059616085,-0.0542399930005919,-0.0595597828739684,-0.0666169818425128,-0.0721965411189184,-0.0783921287036699,-0.0853420646215825,-0.0906696580850976,-0.0998251712427382,-0.1071981763481533,-0.1129296178026146,-0.1244758968881392,-0.1317554472298434,-0.139418493728737,-0.1508893492343404,-0.1582965533254956,-0.1695740286605245,-0.1798859860602908,-0.1929885593517886,-0.2024442999174551,-0.2136194674937446,-0.225205641175834,-0.2356158197225744,-0.2455156950415995,-0.2630119307501575,-0.2760779377500766,-0.2887685407608584,-0.3029376584350229,-0.3154894822825591,-0.3334641271612399,-0.3489883450023265
11000,21,21,21,21,-5.6681388877377614e-05,-0.0004353703187864,-0.0009751248542928,-0.0015632034317443,-0.0031716844248554,-0.0045857461011595,-0.0063845795157697,-0.007329904029659,-0.0100646332113059,-0.0121804988366971,-0.0152567267577481,-0.0173509096736803,-0.021208445082856,-0.0249699918337928,-0.028463911059704,-0.0331088334504245,-0.036982320764995,-0.0411332516701632,-0.0472693492697109,-0.0517571478006235,-0.0565131146276005,-0.0631375839985759,-0.0670771034924868,-0.0747967837301795,-0.0804189804067236,-0.0872112374427542,-0.0941608479475206,-0.1025852413698285,-0.1110991352297405,-0.1192266519960467,-0.1260740643569287,-0.1358347784980544,-0.1434421293710039,-0.1540048911287161,-0.1632909282021524,-0.1726229582690175,-0.1822001515659934,-0.193982436888711,-0.2028176872010272,-0.2148854400936946,-0.2264863145418045,-0.2355480498594353,-0.2478883249097005,-0.2588484067530903,-0.2743930224885211,-0.2871058456154118,-0.3024120251749647,-0.3171638402521273,-0.3305820960430434
11500,22,22,22,22,-4.69390779982426e-05,-0.0003742188932946,-0.0010209780581176,-0.0016247394976085,-0.002973762565372,-0.0044822698125321,-0.0057491247959875,-0.0074720484146277,-0.0090812548354257,-0.011731685820207,-0.0145919364344653,-0.0171714999861642,-0.0197955941085101,-0.0236177004996682,-0.026733757171371,-0.0314313194507178,-0.035312854268473,-0.0407320555685011,-0.0444303925280094,-0.0501638756653148,-0.054643093866292,-0.0594334531509668,-0.0654745106106791,-0.0710843026915366,-0.0778679095417125,-0.0833808495327455,-0.0914897997341661,-0.0986219311254794,-0.105962490885501,-0.1133932592336872,-0.1192950591452408,-0.1282693516216078,-0.1351165143984616,-0.1452800621308805,-0.1547430816740718,-0.1635481393126108,-0.1721002743630455,-0.1826455715275905,-0.1923741819652962,-0.2030786150573957,-0.2119113021593408,-0.2264295090084509,-0.2413615487648357,-0.2495150176984362,-0.262680330401623,-0.2728162738170603,-0.2880842995552131,-0.3000108377454467,-0.3169683535832481
12000,23,23,23,23,-5.398525586075564e-05,-0.0002936726498714,-0.0011695933319999,-0.0017321249974004,-0.0029444444519399,-0.0038994483457881,-0.0056886138299678,-0.0073234181098373,-0.0090450240515571,-0.0113747330172149,-0.0142089234872537,-0.0165705903407751,-0.0198815670998739,-0.0228537811241005,-0.0265762611628179,-0.0291458077943858,-0.0338513777725797,-0.0386499197685274,-0.0434848808355559,-0.0476689206842868,-0.0523728611049145,-0.0564138937902631,-0.063465688662494,-0.0677513955032615,-0.0739782720021668,-0.0799142664355399,-0.0878640623760222,-0.0929138217014342,-0.100468940671238,-0.1089305074358595,-0.116941167738565,-0.1227478513932274,-0.1311149073183593,-0.1388014620177795,-0.1490200013696965,-0.156413105609384,-0.1681275441568059,-0.174750901371504,-0.185173688664741,-0.1931478321750335,-0.2056110549085508,-0.2160682463853831,-0.2274454883972181,-0.2370633521601028,-0.2476864191870982,-0.2633706854422843,-0.276487870926438,-0.2895753269726251,-0.3010676314164451
12500,24,24,24,24,-3.7623453061019774e-05,-0.0004091312609164,-0.0007406637733391,-0.0017533459665921,-0.0026028027879894,-0.0037778590590908,-0.0053457850843678,-0.0070542250642904,-0.0087118954891116,-0.0110257742551893,-0.0129754764566021,-0.0156994899338496,-0.0184758608918809,-0.0215673559064581,-0.0245449286437651,-0.0282593128348072,-0.0338640292162084,-0.0367110875435239,-0.0416424028850839,-0.0459733474312455,-0.0505317820513289,-0.0561534402012391,-0.0603527946758495,-0.0656850754565407,-0.072007411396008,-0.0782303799767802,-0.0826288986099417,-0.0903065962522031,-0.0965222784745734,-0.1032771542452479,-0.1125945107973995,-0.1179649664416899,-0.1259359078268485,-0.1335029322883425,-0.142145235963528,-0.1498264660191379,-0.1619163205853144,-0.1695172569264835,-0.1770014065578973,-0.1881048698912018,-0.1969390854846056,-0.207419027260407,-0.2189093015543299,-0.2317740253733999,-0.2407441587545475,-0.2520788933671598,-0.2609399742691929,-0.2763168823076949,-0.2892641430782747
13000,25,25,25,25,-3.6136933416197614e-05,-0.0003218403552489,-0.0009049951829771,-0.0016796294393164,-0.0024980361458846,-0.0037863920862379,-0.0049405990182918,-0.0070494678543671,-0.008332607542802,-0.0107884916905462,-0.0128715849627747,-0.0152060488692202,-0.0182021783773711,-0.020825547823835,-0.023311039712571,-0.027200261537871,-0.0316143822531866,-0.0350795534412089,-0.039267012244565,-0.0437177216263249,-0.0478236687604143,-0.0536475389388213,-0.0576056404938976,-0.0635887167253042,-0.0689773466434235,-0.075470347543324,-0.0804880211910923,-0.0850795393233863,-0.093212163397272,-0.0987276729575681,-0.1065224428603146,-0.1139418930537266,-0.119923757313531,-0.1289799059968439,-0.1364046853749121,-0.1455974894853149,-0.1537718321163028,-0.1622703807234931,-0.1707307795103805,-0.1809275217767796,-0.1909507972180408,-0.1991892246446216,-0.208021661484409,-0.2204636632657042,-0.2310962802728253,-0.2412488165317903,-0.2523529869898864,-0.263132769322989,-0.2771966616576957
