N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
5500,0.00010799534122199369,-0.00014567481270466554,-0.0011403851673556927,-0.003257819159953633,-0.0052340590170771835,-0.006800278661122736,-0.009433035251710407,-0.01484450921068875,-0.01749610424599396,-0.024320561871556717,-0.025713322947004333,-0.03370022311468758,-0.04158024824009753,-0.04797452932167532,-0.05563663122956033,-0.05832920957816505,-0.06776295490552271,-0.0781563500030948,-0.08794843425648488,-0.09841781358301908,-0.11152386148902409,-0.12984255368000666,-0.13326823677540914,-0.15059302571339916,-0.16099648524289906,-0.17839161507339793,-0.19462393281907525,-0.2090159088027308,-0.22397621919643385,-0.23941742793710033,-0.2551384320796357,-0.2713315909628271,-0.2878045452478845,-0.30473216706098233,-0.3216423016614635,-0.33911202706568216,-0.3563281878869562,-0.3740339906615037,-0.3914774852467983,-0.409812827675549,-0.4275361176627124,-0.44476102209029555,-0.46320128779474956,-0.4809508086008387,-0.49780848156346824,-0.5148060522270335,-0.5332638051441032,-0.5492820919011239,-0.5669791510693623
6000,0.0002460443352023667,-0.0001936053205823826,-0.0012080811065337948,-0.002374417478906626,-0.004854963103528801,-0.006850778704505695,-0.008641285363483365,-0.013309539989346987,-0.015273240104446154,-0.020281698981590067,-0.024646720376719305,-0.02879487419576858,-0.0382943213368882,-0.04617592675850128,-0.05256201669067498,-0.05923715108865128,-0.06344155408764422,-0.07469853504947103,-0.08176290031739962,-0.09456551474523867,-0.10421880425227933,-0.11192914120408118,-0.1228100889735319,-0.13547083666787071,-0.14427115631569615,-0.15894880964946975,-0.17662129767008583,-0.1917582158514914,-0.20502345549909587,-0.21485992532633785,-0.23427764469546902,-0.24900916405743606,-0.2642937165184085,-0.28031564644472606,-0.29623338172920016,-0.3121350870687758,-0.32880622976349455,-0.34554149223780595,-0.36205233548353366,-0.3788356877925425,-0.396188103145457,-0.4129233656197692,-0.4304120355043244,-0.44730759742762327,-0.4646199379182905,-0.48165175437322993,-0.4993087386792201,-0.5154989830269745,-0.5306312510114104
6500,6.973394093471186e-05,7.652721454320575e-06,-0.0007046403745025727,-0.00193080499720108,-0.0035228207066401703,-0.005938415491262639,-0.007114399464668866,-0.011773537734355443,-0.01446731976932766,-0.019310100070724957,-0.025029701624671653,-0.028332321729499666,-0.03198289600946672,-0.038913671402521555,-0.04514899543733937,-0.048639558149076764,-0.0628595127891129,-0.06857050272439297,-0.08105724209998391,-0.08065244487710643,-0.09732676699078534,-0.10484662885723492,-0.11985863763308828,-0.12133631013302715,-0.13808547433334262,-0.14504233797597174,-0.16403444333290987,-0.17703717760734333,-0.1897402924032736,-0.2021669795416523,-0.2144939573981332,-0.23029851914252036,-0.2446366883181259,-0.25904884185480087,-0.27409726089668845,-0.28913828150247056,-0.30497833320781975,-0.3203152912578861,-0.33619233514377006,-0.35276483202372594,-0.36851610249579103,-0.38525136497010326,-0.40155011971409404,-0.4175307417054812,-0.4338812855022222,-0.450468579254391,-0.4667155449456324,-0.4832658465172681,-0.4996385856223302
7000,0.00014724572923574542,-0.00041871501060379004,-0.0010889075187745418,-0.0021199839978475613,-0.0040169409552394935,-0.004849104597786913,-0.008366295479080813,-0.010112465624447325,-0.013741051917252209,-0.015513634289946187,-0.022560945583350644,-0.02471054766870524,-0.030760318975014675,-0.03568978515780502,-0.04091845884307464,-0.05078327147891308,-0.052115885836029975,-0.06444964523808132,-0.07006673713679659,-0.08271213969658486,-0.09039190530131506,-0.09376093258466955,-0.1104082017529393,-0.11852604962575695,-0.1258209906914995,-0.13624243249934403,-0.15207158029559228,-0.16106869787743952,-0.17558548827362933,-0.18469976393576457,-0.19394320873881374,-0.21401350435129887,-0.22737560842048582,-0.2410125115450796,-0.2518525260407696,-0.2693580341103541,-0.2837231547317777,-0.2987203131806373,-0.3139647907793641,-0.3289550792518394,-0.3444331360476624,-0.3600073725128769,-0.3755266491670124,-0.3917810132943611,-0.4069636611056211,-0.42326611506766554,-0.438936531202275,-0.45534203481009694,-0.470462852833891
7500,7.240980285646142e-05,5.6543171846477685e-05,-0.0005372432895104566,-0.0021609303490878664,-0.0031802654940408896,-0.0050757888189036475,-0.007024621836024767,-0.00853549850013241,-0.01217627923317135,-0.016226208946610296,-0.02001783174027988,-0.024914628884241386,-0.027941667010518964,-0.03521709878644061,-0.03892430981872812,-0.04657414454909582,-0.052158333603191574,-0.05876440812015014,-0.06567549752303756,-0.07175027050255434,-0.08198228789151506,-0.09007990493957596,-0.09782624299832852,-0.10466784789631137,-0.11772222664305508,-0.12866064694680004,-0.14106308145813706,-0.15279309877598202,-0.15887453062064072,-0.1759062033411025,-0.1877363026763907,-0.19980364519618282,-0.21236471001885518,-0.22523996176154432,-0.2383588686666948,-0.2518945541392119,-0.2657123666419494,-0.2794275874973344,-0.29395712955357567,-0.3081724846898028,-0.32290079806278804,-0.3378599426423152,-0.3527229075524527,-0.36756663652870974,-0.3831220950584733,-0.3984980182053697,-0.41275184520935326,-0.4297243508681667,-0.4445937277562608
8000,0.00010449064299455912,-0.00013203894234643863,-0.0008168210946270487,-0.00206863316507006,-0.0029815128638008793,-0.005262528693401096,-0.0066924652228008,-0.008851774830634668,-0.011071985477229403,-0.016850648528080787,-0.01874605809343414,-0.02423783399642859,-0.02663207848620033,-0.029613169089458324,-0.039066245126121175,-0.03980282360567413,-0.04727667400446474,-0.05490492688630866,-0.06035839578488027,-0.06697705508293866,-0.07464475189078795,-0.08456159140313435,-0.09352738641379683,-0.1038934257929442,-0.11049186910235596,-0.12118876693322186,-0.12795094439997173,-0.1426300188514631,-0.14964117289116435,-0.15714413332154642,-0.17198713494517737,-0.18552522950449646,-0.19748185508949143,-0.20857898902277316,-0.22367183240182253,-0.2363976049083316,-0.24936382658832107,-0.26256448621245454,-0.2760356511567536,-0.28966911929315486,-0.3038676429872389,-0.31760330202236803,-0.332192555623358,-0.346769786765674,-0.3614612312653919,-0.3756296988127898,-0.3903151320831712,-0.405613710745933,-0.420136840824215
8500,4.5454835937073145e-05,2.7663743871912617e-05,-0.0007329966317112979,-0.0020405948288608356,-0.0028230973238646713,-0.003573945841338364,-0.006416738989414748,-0.00845042197817398,-0.011078052504534405,-0.01358940311771252,-0.01823347797871875,-0.022852715343847557,-0.02544854252370542,-0.029847261538149927,-0.03544293706947328,-0.041048867844478865,-0.04515530548556421,-0.05036660352188435,-0.058133277701039654,-0.06309630783559587,-0.07197340990390086,-0.08234898605355398,-0.08455269011039586,-0.09623345404587616,-0.10310149868547303,-0.11447781793459282,-0.12592873335852053,-0.13185875204158654,-0.14175637256569823,-0.14913983905288836,-0.15949376136553184,-0.17639351366602254,-0.18700570732509006,-0.1989278444419477,-0.2105768996936756,-0.22269553803714265,-0.23484812214627745,-0.24748160460237664,-0.2602508701211467,-0.2734048543174871,-0.2865418656309923,-0.3001880634295188,-0.31383991885565793,-0.3274804590265727,-0.3412963856534379,-0.35568939029665975,-0.36993529662198726,-0.3841472571816453,-0.3983026414651913
9000,0.00010637245364331083,-0.0002474076882698655,-0.000848563400388489,-0.0012475218717175776,-0.002504963886925837,-0.004414127053250208,-0.005196387710829365,-0.008868142731117622,-0.012686048939341398,-0.014869404957596293,-0.015677898962119043,-0.01767520544318693,-0.02514499759813698,-0.028384070389558546,-0.032781062480574885,-0.03810526381084408,-0.04523503624163975,-0.04988119012075378,-0.055535952554309966,-0.0627602804194786,-0.06520127899340969,-0.07328180573879624,-0.08248176073064777,-0.0873107855126376,-0.09687412809187719,-0.10903327302017989,-0.11578950932999361,-0.12547750182737794,-0.1315724264405524,-0.14293414510652178,-0.1555552556001167,-0.16492037965231,-0.17241116111461527,-0.1879511039380341,-0.1987168664911385,-0.20585815813212704,-0.22201473684791304,-0.23393567253762798,-0.24612911729062414,-0.25873399729601937,-0.27131750404155053,-0.28408268349593513,-0.2970669388639359,-0.3104519428544066,-0.3236339008761586,-0.337697505867343,-0.35097564355848654,-0.3648094860061226,-0.37887309099730615
9500,1.6933045823896254e-05,-0.0003441345804082144,-0.0009454394001814892,-0.001636452092791603,-0.0032798447808878497,-0.004096417606847394,-0.0062420269147364284,-0.008953835478343344,-0.010846637168998356,-0.012140668025502914,-0.015006938016050218,-0.020070827708081593,-0.022647872123048942,-0.02697023294534201,-0.03315665525068561,-0.03629437304012038,-0.040955049549123296,-0.0450359694115203,-0.05258585002950859,-0.05431839925668752,-0.06415669738504266,-0.07110607569615365,-0.07333534546641826,-0.0837845525757598,-0.08964607134877314,-0.09916183354366923,-0.10813298227959392,-0.11664734768734328,-0.1251206339072545,-0.13319068988495708,-0.13944408854160523,-0.15502205797898047,-0.16761305542675314,-0.17425777176592033,-0.18419235350648666,-0.19841626033792,-0.21051198586108194,-0.221866248937272,-0.23334200212216857,-0.2452227223360834,-0.25728061562519766,-0.2697434759433355,-0.28212028076780266,-0.29469956910678174,-0.3076686382111946,-0.32080981830293975,-0.33358652806856703,-0.3469656262898635,-0.3604004074776519
10000,0.00011743566580779685,2.2949556742764222e-05,-0.0004423093499409791,-0.001464549809282387,-0.003122658337277356,-0.0036941221479368704,-0.005833501014782001,-0.008247972222286957,-0.00940758096458563,-0.013345516199499216,-0.015012564141956716,-0.01794836021009465,-0.02244233344191568,-0.025485549737180844,-0.02878745306952977,-0.03463589532882853,-0.03711531742690962,-0.045556424013517914,-0.04937375432123754,-0.05316425307273319,-0.05954683747870426,-0.0663315825015482,-0.07177398704120277,-0.07903545431906789,-0.08576845855644598,-0.09394969180903878,-0.1038681945839439,-0.11096055193430573,-0.11942858271366223,-0.1310576912062755,-0.13395209259699828,-0.14985530760000368,-0.15711394875480877,-0.1682115076431376,-0.17855641759832253,-0.18945471276953887,-0.20000081351843763,-0.21080179039122623,-0.2218480254209662,-0.23324050726051837,-0.2446762699512987,-0.25642461656760496,-0.26837013150616507,-0.2805993764694348,-0.2930738795896532,-0.3055002928751768,-0.318229672119287,-0.33108408493360825,-0.3438086551942483
10500,1.9178124573970834e-05,5.934088053762774e-05,-0.0006459414907484251,-0.0013701430603831808,-0.0025726439262285486,-0.004166346719160982,-0.005434370679848668,-0.007561390409461107,-0.009315653379649865,-0.013305222214223787,-0.015279499483016691,-0.017189961846284872,-0.020935357602999315,-0.024034340131179516,-0.028632056543936996,-0.031597526976967404,-0.03518187004794267,-0.041153516176247046,-0.0478075942179465,-0.052146179642662105,-0.05708367898971106,-0.06522119747168892,-0.0701286375139806,-0.07599333511755896,-0.08309193033204915,-0.08667104158233747,-0.0976311931654709,-0.10475152958874466,-0.10831393965470495,-0.12323122592738311,-0.12934025565701196,-0.1359414786456154,-0.14990642051351166,-0.15545552054433462,-0.1684566240547296,-0.17929311249750055,-0.19055940497227652,-0.2008552095815403,-0.21136169346661937,-0.2222483160450092,-0.23328607810387414,-0.24452535947003626,-0.2560119599860675,-0.26770007980939603,-0.2794568993965782,-0.2916625574409241,-0.3037949357371614,-0.31620211308880547,-0.32860013047193787
11000,8.336836418454396e-05,-0.00021497016444152028,-0.0005731317150098921,-0.0007656331602156974,-0.0027366312474880385,-0.004056482511894639,-0.005883569063660437,-0.005741329624731011,-0.00891559133206598,-0.010589817737635747,-0.013922460545272979,-0.015028705153420526,-0.01939934655880158,-0.023315702458451954,-0.026434495118800666,-0.03159298591951378,-0.03494629837867516,-0.038592189829778925,-0.045946106480389624,-0.04974111680447539,-0.05381015553144047,-0.06135389115714847,-0.06326541883947451,-0.07247495982011287,-0.07722722548919939,-0.0840573036880085,-0.0909397806350362,-0.10050951522789386,-0.11000031430986194,-0.11844730740905701,-0.12407615531130567,-0.1352780421910972,-0.1418977789358208,-0.15383500939030617,-0.16292835995106003,-0.17228839050422182,-0.18188449842770987,-0.19176914535937675,-0.20188549785821494,-0.2121679788769164,-0.22282206316372294,-0.23355046810415378,-0.24454555303698813,-0.2558860104190055,-0.26706033928116385,-0.2787024510808233,-0.29046697336879923,-0.3023539061450933,-0.314437570063327
11500,9.429945803263173e-05,-0.00012117907315957412,-0.0007247128180325193,-0.0009913476268689808,-0.0024976022068798165,-0.00407192166031036,-0.004912033100959731,-0.0064133783266075136,-0.0074363856711991295,-0.010290938658384258,-0.0133142274191522,-0.015525238569428348,-0.017574407375628025,-0.021768697234079523,-0.02429998416824736,-0.029743378832332405,-0.033303815087861205,-0.03968868082256535,-0.042380914390856894,-0.048892536829370586,-0.0526447259098574,-0.056768293672365445,-0.06314235429957726,-0.06840298068370737,-0.07576033312110295,-0.08032544835483968,-0.08983168052397955,-0.09713337158753349,-0.10460101590313095,-0.1119981739096873,-0.11608649155760536,-0.12606889084977801,-0.13155449070706646,-0.14341359354059954,-0.15362491823506108,-0.16228614253386997,-0.1701864364463441,-0.18184305972544743,-0.1915861339922067,-0.20303946381252916,-0.21056718692675597,-0.22343791717327297,-0.23407204322828876,-0.24489434689733436,-0.25588810128138384,-0.2670574881051939,-0.2782561470022964,-0.2896931642105045,-0.3014354473259137
12000,7.236636838947597e-05,1.3777633960877908e-05,-0.001076828503222275,-0.0013002074334663855,-0.00258271276850889,-0.003110137808687471,-0.005065436856047352,-0.00647156432130327,-0.0078108459367802145,-0.010125884426651388,-0.013209436751802894,-0.015107492670438177,-0.01866371922674617,-0.021301971139828766,-0.025200305908412195,-0.026552324689214753,-0.031935940989787207,-0.03726505215238597,-0.04242655228366576,-0.046045760804868274,-0.05046432129638216,-0.05331661714385652,-0.0619499881916141,-0.06481073400296368,-0.0713133699571066,-0.07699379260670636,-0.08646136909703986,-0.08988842318375129,-0.0980857473857668,-0.10785551800393642,-0.11648302652479181,-0.12046213257607795,-0.12933756393972118,-0.13659150624733657,-0.14867698365891346,-0.1548991940761217,-0.16677554672676456,-0.1736452922310931,-0.18510578871850297,-0.19165606590302264,-0.20434573008324808,-0.21433238575517863,-0.22446331093119995,-0.2348587301980495,-0.245422463886336,-0.25617054194095873,-0.26695067988537957,-0.27821572366298675,-0.2893685578263039
12500,9.787649878467697e-05,-0.00024118450547721442,-0.00026946371233122965,-0.001429211074304103,-0.0020316764860228596,-0.0030545095906079523,-0.0046322509970030575,-0.0062601891061446445,-0.007555756898542865,-0.009932910166911167,-0.011350879099408098,-0.014086639377030676,-0.016696283409681087,-0.019705344348880063,-0.0222557295269956,-0.026048906406040292,-0.033391916459259485,-0.0349887791977652,-0.04052332475821883,-0.04462629752133287,-0.04895341922574924,-0.05517615678327644,-0.058323455783660244,-0.06350577618966549,-0.07043737570667821,-0.07693940929976054,-0.0795617117910785,-0.08851154109405528,-0.09430650835070686,-0.10094903149742411,-0.11248568500055349,-0.11589770548141935,-0.12427986623747689,-0.13162720912644052,-0.14088658486269343,-0.1480122180871301,-0.160131455165124,-0.16881070853111163,-0.17626663126504916,-0.18688094481659245,-0.19619883118734727,-0.20579371500595295,-0.21559634691044574,-0.22561442127437906,-0.23572098093415308,-0.24606606617402255,-0.25665737136753375,-0.267206357506514,-0.27817853419082267
13000,9.419094557772123e-05,-8.879800246369343e-05,-0.0006447366790824385,-0.0013616811297096586,-0.001944217397581197,-0.003244699049809086,-0.004054929602224974,-0.006552530879468046,-0.007176720778219108,-0.009924446512373467,-0.01170463741228374,-0.013765616497414179,-0.016927973702741413,-0.01912285770148031,-0.020820033501550837,-0.025102716091535776,-0.03021324337833766,-0.03320391852733891,-0.037417215823795674,-0.04193506119384425,-0.04554142898533883,-0.05236168978225559,-0.05522846024929695,-0.06192322698578412,-0.06720714801248287,-0.07447785791953261,-0.07857596023910404,-0.08159979844451115,-0.09148389544989043,-0.0959118103448757,-0.10467629284154785,-0.11246818283633608,-0.11716294788069792,-0.1277917271249675,-0.1349247170213754,-0.14537550251729045,-0.15356741197116358,-0.1622079756025494,-0.17053918885595373,-0.17971171226006885,-0.18870821056632975,-0.19793775960996648,-0.20740405860902997,-0.21695913884137763,-0.2267361721569418,-0.2367647523001466,-0.24699309021824334,-0.2572917132793595,-0.26778269567925944
